2025-02-04 15:13:49 status unpacked libwebp7:amd64 1.2.2-2ubuntu0.22.04.2
2025-02-04 15:13:49 install libtiff5:amd64 <none> 4.3.0-6ubuntu0.10
2025-02-04 15:13:49 status half-installed libtiff5:amd64 4.3.0-6ubuntu0.10
2025-02-04 15:13:49 status unpacked libtiff5:amd64 4.3.0-6ubuntu0.10
2025-02-04 15:13:49 install libgdk-pixbuf-2.0-0:amd64 <none> 2.42.8+dfsg-1ubuntu0.3
2025-02-04 15:13:49 status half-installed libgdk-pixbuf-2.0-0:amd64 2.42.8+dfsg-1ubuntu0.3
2025-02-04 15:13:49 status unpacked libgdk-pixbuf-2.0-0:amd64 2.42.8+dfsg-1ubuntu0.3
2025-02-04 15:13:49 install gtk-update-icon-cache:amd64 <none> 3.24.33-1ubuntu2.2
2025-02-04 15:13:49 status half-installed gtk-update-icon-cache:amd64 3.24.33-1ubuntu2.2
2025-02-04 15:13:49 status triggers-pending man-db:amd64 2.10.2-1
2025-02-04 15:13:49 status unpacked gtk-update-icon-cache:amd64 3.24.33-1ubuntu2.2
2025-02-04 15:13:49 install humanity-icon-theme:all <none> 0.6.16
2025-02-04 15:13:49 status half-installed humanity-icon-theme:all 0.6.16
2025-02-04 15:13:50 status unpacked humanity-icon-theme:all 0.6.16
2025-02-04 15:13:50 install ubuntu-mono:all <none> 20.10-0ubuntu2
2025-02-04 15:13:50 status half-installed ubuntu-mono:all 20.10-0ubuntu2
2025-02-04 15:13:51 status unpacked ubuntu-mono:all 20.10-0ubuntu2
2025-02-04 15:13:51 install adwaita-icon-theme:all <none> 41.0-1ubuntu1
2025-02-04 15:13:51 status half-installed adwaita-icon-theme:all 41.0-1ubuntu1
2025-02-04 15:13:51 status unpacked adwaita-icon-theme:all 41.0-1ubuntu1
2025-02-04 15:13:51 install libxi6:amd64 <none> 2:1.8-1build1
2025-02-04 15:13:51 status half-installed libxi6:amd64 2:1.8-1build1
2025-02-04 15:13:51 status unpacked libxi6:amd64 2:1.8-1build1
2025-02-04 15:13:51 install libatspi2.0-0:amd64 <none> 2.44.0-3
2025-02-04 15:13:51 status half-installed libatspi2.0-0:amd64 2.44.0-3
2025-02-04 15:13:51 status unpacked libatspi2.0-0:amd64 2.44.0-3
2025-02-04 15:13:51 install x11-common:all <none> 1:7.7+23ubuntu2
2025-02-04 15:13:51 status half-installed x11-common:all 1:7.7+23ubuntu2
2025-02-04 15:13:51 status unpacked x11-common:all 1:7.7+23ubuntu2
2025-02-04 15:13:51 install libxtst6:amd64 <none> 2:1.2.3-1build4
2025-02-04 15:13:51 status half-installed libxtst6:amd64 2:1.2.3-1build4
2025-02-04 15:13:51 status unpacked libxtst6:amd64 2:1.2.3-1build4
2025-02-04 15:13:51 install libdconf1:amd64 <none> 0.40.0-3
2025-02-04 15:13:51 status half-installed libdconf1:amd64 0.40.0-3
2025-02-04 15:13:51 status unpacked libdconf1:amd64 0.40.0-3
2025-02-04 15:13:51 install dconf-service:amd64 <none> 0.40.0-3
2025-02-04 15:13:51 status half-installed dconf-service:amd64 0.40.0-3
2025-02-04 15:13:52 status unpacked dconf-service:amd64 0.40.0-3
