2025-02-13 16:02:42 status half-installed libjpeg8:amd64 8c-2ubuntu10
2025-02-13 16:02:42 status unpacked libjpeg8:amd64 8c-2ubuntu10
2025-02-13 16:02:42 install libdeflate0:amd64 <none> 1.10-2
2025-02-13 16:02:42 status half-installed libdeflate0:amd64 1.10-2
2025-02-13 16:02:42 status unpacked libdeflate0:amd64 1.10-2
2025-02-13 16:02:42 install libjbig0:amd64 <none> 2.1-3.1ubuntu0.22.04.1
2025-02-13 16:02:42 status half-installed libjbig0:amd64 2.1-3.1ubuntu0.22.04.1
2025-02-13 16:02:42 status unpacked libjbig0:amd64 2.1-3.1ubuntu0.22.04.1
2025-02-13 16:02:42 install libwebp7:amd64 <none> 1.2.2-2ubuntu0.22.04.2
2025-02-13 16:02:42 status half-installed libwebp7:amd64 1.2.2-2ubuntu0.22.04.2
2025-02-13 16:02:42 status unpacked libwebp7:amd64 1.2.2-2ubuntu0.22.04.2
2025-02-13 16:02:42 install libtiff5:amd64 <none> 4.3.0-6ubuntu0.10
2025-02-13 16:02:42 status half-installed libtiff5:amd64 4.3.0-6ubuntu0.10
2025-02-13 16:02:42 status unpacked libtiff5:amd64 4.3.0-6ubuntu0.10
2025-02-13 16:02:42 install libgdk-pixbuf-2.0-0:amd64 <none> 2.42.8+dfsg-1ubuntu0.3
2025-02-13 16:02:42 status half-installed libgdk-pixbuf-2.0-0:amd64 2.42.8+dfsg-1ubuntu0.3
2025-02-13 16:02:42 status unpacked libgdk-pixbuf-2.0-0:amd64 2.42.8+dfsg-1ubuntu0.3
2025-02-13 16:02:42 install gtk-update-icon-cache:amd64 <none> 3.24.33-1ubuntu2.2
2025-02-13 16:02:42 status half-installed gtk-update-icon-cache:amd64 3.24.33-1ubuntu2.2
2025-02-13 16:02:42 status triggers-pending man-db:amd64 2.10.2-1
2025-02-13 16:02:42 status unpacked gtk-update-icon-cache:amd64 3.24.33-1ubuntu2.2
2025-02-13 16:02:42 install humanity-icon-theme:all <none> 0.6.16
2025-02-13 16:02:42 status half-installed humanity-icon-theme:all 0.6.16
2025-02-13 16:02:44 status unpacked humanity-icon-theme:all 0.6.16
2025-02-13 16:02:44 install ubuntu-mono:all <none> 20.10-0ubuntu2
2025-02-13 16:02:44 status half-installed ubuntu-mono:all 20.10-0ubuntu2
2025-02-13 16:02:45 status unpacked ubuntu-mono:all 20.10-0ubuntu2
2025-02-13 16:02:45 install adwaita-icon-theme:all <none> 41.0-1ubuntu1
2025-02-13 16:02:45 status half-installed adwaita-icon-theme:all 41.0-1ubuntu1
2025-02-13 16:02:45 status unpacked adwaita-icon-theme:all 41.0-1ubuntu1
2025-02-13 16:02:45 install libxi6:amd64 <none> 2:1.8-1build1
2025-02-13 16:02:45 status half-installed libxi6:amd64 2:1.8-1build1
2025-02-13 16:02:45 status unpacked libxi6:amd64 2:1.8-1build1
2025-02-13 16:02:45 install libatspi2.0-0:amd64 <none> 2.44.0-3
2025-02-13 16:02:45 status half-installed libatspi2.0-0:amd64 2.44.0-3
2025-02-13 16:02:45 status unpacked libatspi2.0-0:amd64 2.44.0-3
2025-02-13 16:02:45 install x11-common:all <none> 1:7.7+23ubuntu2
2025-02-13 16:02:45 status half-installed x11-common:all 1:7.7+23ubuntu2
2025-02-13 16:02:45 status unpacked x11-common:all 1:7.7+23ubuntu2
2025-02-13 16:02:45 install libxtst6:amd64 <none> 2:1.2.3-1build4
2025-02-13 16:02:45 status half-installed libxtst6:amd64 2:1.2.3-1build4
2025-02-13 16:02:45 status unpacked libxtst6:amd64 2:1.2.3-1build4
2025-02-13 16:02:45 install libdconf1:amd64 <none> 0.40.0-3
2025-02-13 16:02:45 status half-installed libdconf1:amd64 0.40.0-3
2025-02-13 16:02:46 status unpacked libdconf1:amd64 0.40.0-3
2025-02-13 16:02:46 install dconf-service:amd64 <none> 0.40.0-3
2025-02-13 16:02:46 status half-installed dconf-service:amd64 0.40.0-3
2025-02-13 16:02:46 status unpacked dconf-service:amd64 0.40.0-3
2025-02-13 16:02:46 install dconf-gsettings-backend:amd64 <none> 0.40.0-3
2025-02-13 16:02:46 status half-installed dconf-gsettings-backend:amd64 0.40.0-3
2025-02-13 16:02:46 status triggers-pending libglib2.0-0:amd64 2.72.4-0ubuntu2.4
2025-02-13 16:02:46 status unpacked dconf-gsettings-backend:amd64 0.40.0-3
2025-02-13 16:02:46 install session-migration:amd64 <none> 0.3.6
